sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
14,14,13,258,276,12,12,0,1,271,290,0,0,1,1
26,25,24,1704,2535,30,47,1,1,1752,2710,0,0,1,1
8,8,7,98,92,7,9,0,1,110,108,0,0,1,1
14,14,13,235,252,4,4,1,1,240,257,0,0,1,1
9,9,8,125,118,16,24,0,1,149,157,0,0,1,1
7,7,6,66,60,1,1,0,1,71,69,0,0,1,1
17,17,16,385,423,2,2,0,1,387,433,0,0,1,1
26,25,24,952,1385,1,1,0,1,955,1426,0,0,1,1
12,11,9,178,207,1,1,0,1,183,215,0,0,1,1
6,6,5,55,51,1,1,1,1,58,54,0,0,1,1
6,6,5,74,69,1,1,1,1,77,72,0,0,1,1
15,14,12,536,724,39,54,0,1,770,1114,0,0,1,1
18,18,17,285,314,0,0,1,1,286,315,0,0,1,1
13,13,12,307,344,3,3,0,1,327,398,0,0,1,1
11,10,8,119,114,8,8,0,1,201,216,0,0,1,1
7,7,6,64,58,4,4,0,1,85,81,0,0,1,1
24,23,22,646,784,8,8,1,1,660,812,0,0,1,1
18,16,14,287,301,3,3,1,1,308,324,0,0,1,1
10,9,8,114,116,3,3,1,1,121,126,0,0,1,1
18,18,17,266,278,1,1,1,1,269,282,0,0,1,1
16,16,13,339,367,16,16,0,1,407,491,0,0,1,1
12,11,10,323,397,11,11,1,1,391,511,0,0,1,1
7,7,6,94,103,0,0,0,1,95,106,0,0,1,1
13,13,11,232,234,14,14,1,1,265,275,0,0,1,1
7,7,6,60,54,1,1,0,1,79,78,0,0,1,1
5,5,4,71,70,5,5,0,1,78,79,0,0,1,1
14,14,12,217,217,11,11,0,1,254,266,0,0,1,1
12,9,8,195,192,3,3,1,1,210,208,0,0,1,1
11,11,10,247,287,8,8,0,1,261,316,0,0,1,1
