sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
13,13,12,771,1096,179,186,1,1,1136,1596,0,0,1,1
12,12,11,608,909,167,170,1,1,939,1449,0,0,1,1
10,10,6,287,321,106,127,1,1,566,720,0,0,1,1
7,7,5,66,63,15,15,0,1,90,88,0,0,1,1
31,28,26,5471,10133,1012,1486,1,1,7254,14042,0,0,1,1
14,14,13,357,415,114,118,1,1,541,631,0,0,1,1
26,25,24,3044,5348,652,869,1,1,4690,8626,0,0,1,1
8,8,7,157,159,50,57,0,1,241,258,0,0,1,1
14,14,13,622,843,134,143,1,1,873,1167,0,0,1,1
9,9,8,208,228,88,98,0,1,358,410,0,0,1,1
7,7,6,85,83,17,17,1,1,117,118,0,0,1,1
17,17,16,1198,2240,547,742,1,1,2216,3948,0,0,1,1
26,25,24,2717,5332,431,559,1,1,3527,6700,0,0,1,1
12,11,9,335,480,163,188,0,1,766,1094,0,0,1,1
6,6,5,83,81,26,26,1,1,128,129,0,0,1,1
6,6,5,114,137,38,38,1,1,179,219,0,0,1,1
15,14,12,1205,1865,343,505,1,1,1895,3121,0,0,1,1
18,18,17,609,822,238,283,1,1,1224,1788,0,0,1,1
13,13,12,623,902,235,250,1,1,1023,1506,0,0,1,1
11,10,8,582,884,185,206,1,1,926,1411,0,0,1,1
7,7,6,104,101,32,32,1,1,167,169,0,0,1,1
24,23,22,2690,4566,498,646,1,1,3528,6035,0,0,1,1
18,16,14,813,1209,283,404,1,1,1416,2209,0,0,1,1
10,9,8,178,208,58,61,1,1,301,360,0,0,1,1
18,18,17,677,926,218,264,1,1,1145,1633,0,0,1,1
16,16,13,824,1289,283,384,1,1,1472,2403,0,0,1,1
12,11,10,821,1300,231,336,1,1,1234,2085,0,0,1,1
7,7,6,175,234,42,42,1,1,263,340,0,0,1,1
13,13,11,761,1046,172,208,1,1,1072,1550,0,0,1,1
7,7,6,83,80,33,33,0,1,174,186,0,0,1,1
5,5,4,108,124,53,54,1,1,197,231,0,0,1,1
14,14,12,1220,2195,404,515,1,1,1920,3542,0,0,1,1
12,9,8,402,516,193,193,1,1,746,953,0,0,1,1
11,11,10,407,514,124,124,1,1,617,792,0,0,1,1
15,15,14,530,670,171,178,1,1,831,1040,0,0,1,1
4,4,3,45,41,30,30,0,1,100,100,0,0,1,1
18,18,16,1474,2111,499,603,1,1,2321,3488,0,0,1,1
7,7,6,126,143,36,36,1,1,188,223,0,0,1,1
12,12,11,1570,2973,384,537,1,1,2234,4308,0,0,1,1
11,11,10,351,415,58,60,1,1,476,556,0,0,1,1
17,16,15,740,951,213,225,1,1,1096,1415,0,0,1,1
13,13,12,1283,2310,466,782,1,1,1911,3599,0,0,1,1
8,8,7,107,108,40,40,1,1,193,204,0,0,1,1
8,8,7,159,181,46,46,1,1,244,280,0,0,1,1
12,12,10,698,1074,272,298,0,0,1091,1614,0,0,1,1
9,9,8,237,298,100,108,1,1,405,501,0,0,1,1
15,15,12,1471,3090,393,514,1,1,2331,4657,0,0,1,1
13,11,10,387,448,93,106,1,1,537,640,0,0,1,1
22,21,20,2676,4541,367,435,1,1,3321,5636,0,0,1,1
13,13,12,1565,2915,418,640,0,0,2265,4458,0,0,1,1
15,15,14,1301,2110,200,264,1,1,1603,2550,0,0,1,1
17,17,16,984,1326,299,312,1,1,1598,2305,0,0,1,1
16,16,14,986,1493,146,167,1,1,1238,1848,0,0,1,1
11,11,10,1175,1925,269,386,1,1,1517,2496,0,0,1,1
7,7,6,135,138,33,33,0,1,194,201,0,0,1,1
6,5,4,151,157,81,95,1,1,315,361,0,0,1,1
