file-name,sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_80-p/morph_80.8-s.xml,8,8,6,148,164,7,7,0,1,187,231,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_86-p/morph_86.19-s.xml,19,19,18,2421,6028,339,1001,0,1,3210,9004,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_86-p/morph_86.26-s.xml,7,7,6,176,208,12,14,0,1,202,248,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_88-p/morph_88.20-s.xml,8,7,6,142,137,28,30,0,1,191,197,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_88-p/morph_88.27-s.xml,7,7,6,106,106,2,2,0,1,110,113,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_89-p/morph_89.55-s.xml,8,8,6,219,244,24,26,0,1,310,376,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_94-p/morph_94.41-s.xml,31,31,28,13576,37804,778,2786,1,1,14648,42399,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_95-p/morph_95.62-s.xml,9,8,7,317,369,3,3,1,1,323,383,0,0,1,1
NKJP_1M_0102000000001/morph_3-p/morph_3.10-s.xml,7,7,6,97,93,5,5,0,1,118,130,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_112-p/morph_112.33-s.xml,18,17,13,1624,3174,186,409,0,1,2902,6871,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_112-p/morph_112.57-s.xml,13,13,11,475,639,14,15,0,1,502,704,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_117-p/morph_117.31-s.xml,12,12,11,566,781,67,151,0,1,700,1118,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_131-p/morph_131.36-s.xml,36,32,26,2943,4737,229,338,0,1,3963,6867,0,0,1,1
